# k, experiment with shifted e, fit result * k**2
2.500000000000000000e+00,-3.147279407467907381e-02,4.780629903395295505e-02
2.525046382189239491e+00,-3.050394955628731378e-02,6.113973548664704272e-02
2.550092764378478538e+00,-2.914735537501939380e-02,7.374904157452968900e-02
2.575139146567718029e+00,-2.778692384613999297e-02,8.866938075553379428e-02
2.600185528756957520e+00,-2.614415515971085097e-02,1.028494475879469378e-01
2.625231910946196567e+00,-2.434193860277414009e-02,1.189392275298660762e-01
2.650278293135436058e+00,-2.241910472107488950e-02,1.342923051176718729e-01
2.675324675324675106e+00,-2.021270351002906265e-02,1.512885200051106438e-01
2.700371057513914597e+00,-1.800075212367082886e-02,1.676531896488653306e-01
2.725417439703154088e+00,-1.556155353093964522e-02,1.851576577144703750e-01
2.750463821892393135e+00,-1.310709100112525394e-02,2.021968878708712003e-01
2.775510204081632626e+00,-1.046258725408125492e-02,2.197590197978609716e-01
2.800556586270872117e+00,-7.707364659346148394e-03,2.370744698193677780e-01
2.825602968460111164e+00,-4.911250761551266310e-03,2.540016780961676379e-01
2.850649350649350655e+00,-2.038213069873695028e-03,2.709256990103742768e-01
2.875695732838590146e+00,8.479049768642413177e-04,2.868602544041041758e-01
2.900742115027829193e+00,3.948543598327932877e-03,3.030870795527983996e-01
2.925788497217068684e+00,7.055555176736395297e-03,3.175187216315281669e-01
2.950834879406308175e+00,1.053226142244745311e-02,3.325462693312985496e-01
2.975881261595547222e+00,1.413965409848410258e-02,3.449781884215876726e-01
3.000927643784786714e+00,1.739451445489870879e-02,3.582889099472188477e-01
3.025974025974026205e+00,2.025033413623067088e-02,3.680668578530917334e-01
3.051020408163265252e+00,2.302015790454628799e-02,3.789735686661448999e-01
3.076066790352504743e+00,2.543960075421615452e-02,3.858516217742624654e-01
3.101113172541744234e+00,2.786332585089715957e-02,3.940545441872209120e-01
3.126159554730983281e+00,3.035008988961248808e-02,3.976833751215919088e-01
3.151205936920222772e+00,3.284431359444099641e-02,4.027561853348836096e-01
3.176252319109461819e+00,3.481648662788063009e-02,4.028614813939121464e-01
3.201298701298701310e+00,3.656625331898859937e-02,4.044311833574484871e-01
3.226345083487940357e+00,3.792259372522768790e-02,4.006859292974588871e-01
3.251391465677179848e+00,3.881663434388148842e-02,3.983419270538501311e-01
3.276437847866419339e+00,3.953648208924415153e-02,3.908009834896337131e-01
3.301484230055658387e+00,3.966573857102879963e-02,3.844863071242327068e-01
3.326530612244897878e+00,3.979243872321305830e-02,3.731587805970463800e-01
3.351576994434137369e+00,3.935373092776008053e-02,3.627847977614251929e-01
3.376623376623376416e+00,3.891440165949922730e-02,3.477782994891051027e-01
3.401669758812615907e+00,3.822324677151315436e-02,3.333622990515590634e-01
3.426716141001855398e+00,3.746345252716774127e-02,3.148046986752289778e-01
3.451762523191094445e+00,3.663558245183363982e-02,2.964286376092835074e-01
3.476808905380333936e+00,3.575755611983517240e-02,2.747178368105325230e-01
3.501855287569573427e+00,3.479707407004772879e-02,2.527220864984616733e-01
3.526901669758812474e+00,3.369907777112494951e-02,2.282444787442873546e-01
3.551948051948051965e+00,3.257728830309665480e-02,2.029999915388872311e-01
3.576994434137291456e+00,3.134920246618465994e-02,1.762162315014685066e-01
3.602040816326530503e+00,3.011965183088082670e-02,1.481967953926749682e-01
3.627087198515769995e+00,2.884233772805034138e-02,1.196083355310453844e-01
3.652133580705009486e+00,2.756282446557472426e-02,8.937733545026506354e-02
3.677179962894248533e+00,2.622498004702407057e-02,5.960280409976524696e-02
3.702226345083488024e+00,2.487127477948582882e-02,2.783916569664022025e-02
3.727272727272727515e+00,2.336262660862590754e-02,-2.512515196973378034e-03
3.752319109461966562e+00,2.175726930793161346e-02,-3.510148960931288448e-02
3.777365491651205609e+00,1.987561201143120404e-02,-6.540182289508639224e-02
3.802411873840445544e+00,1.764498732620315563e-02,-9.807003336959711770e-02
3.827458256029684591e+00,1.525726831832973328e-02,-1.276698603663945220e-01
3.852504638218923638e+00,1.245072502099148562e-02,-1.596330904416795315e-01
3.877551020408163129e+00,9.678793660454458256e-03,-1.879153169009652180e-01
3.902597402597402620e+00,7.222519790685380178e-03,-2.184323621118170189e-01
3.927643784786641667e+00,4.763927194409369945e-03,-2.448056083660377635e-01
3.952690166975881159e+00,1.717175308155353269e-03,-2.731570991793579872e-01
3.977736549165120650e+00,-1.367442205404485051e-03,-2.970705392302458447e-01
4.002782931354359697e+00,-4.448420437971020366e-03,-3.225873458840218810e-01
4.027829313543598744e+00,-7.530372336146911108e-03,-3.435061595884439378e-01
4.052875695732838679e+00,-1.018490722276980780e-02,-3.655606939064068306e-01
4.077922077922077726e+00,-1.259246188011325235e-02,-3.830876474518950525e-01
4.102968460111316773e+00,-1.502350535260575833e-02,-4.012125637990244242e-01
4.128014842300556708e+00,-1.747944310700457610e-02,-4.149955776941172680e-01
4.153061224489795755e+00,-1.989869937128580651e-02,-4.287993837934177543e-01
4.178107606679034802e+00,-2.224439293964443690e-02,-4.385710804101541349e-01
4.203153988868274737e+00,-2.446779087609071701e-02,-4.477727740888606256e-01
4.228200371057513784e+00,-2.618747849502713054e-02,-4.533152375151541236e-01
4.253246753246752832e+00,-2.787049674504496477e-02,-4.577315296536947908e-01
