 # CdS_F-43m                                                        FEFF 9.6.4
 # POT  SCF 100  6.0000   0, NO core-hole, AFOLP (folp(0)= 1.150)
 # Abs   Z=48 Rmt= 1.488 Rnm= 1.613 K  shell
 # Pot 1 Z=48 Rmt= 1.488 Rnm= 1.613
 # Pot 2 Z=16 Rmt= 1.401 Rnm= 1.518
 # Gam_ch=8.978E+00 H-L exch Vi= 0.000E+00 Vr=-1.000E+00
 # Mu=-5.460E+00 kf=1.795E+00 Vint=-1.174E+01 Rs_int= 2.020
 # PATH  Rmax= 4.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%

 #Path    2      icalc       2
# -----------------------------------------------------------------------
  # 2  12.000   4.1016    2.9576   -4.46003 nleg, deg, reff, rnrmav(bohr), edge
 #       x         y         z   pot at#
  #   0.0000    0.0000    0.0000  0  48 Cd       absorbing atom
  #   0.0000   -2.9003   -2.9003  1  48 Cd    
 #   k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  1.0108E+01  1.7610E-04 -8.5700E+00  8.290E-01  2.4393E+00  1.4388E+00
  0.100  1.0109E+01  7.9003E-02 -9.3717E+00  8.311E-01  2.4443E+00  1.4419E+00
  0.200  1.0112E+01  1.5634E-01 -1.0141E+01  8.376E-01  2.4593E+00  1.4512E+00
  0.300  1.0117E+01  2.3056E-01 -1.0877E+01  8.482E-01  2.4841E+00  1.4666E+00
  0.400  1.0123E+01  3.0055E-01 -1.1577E+01  8.628E-01  2.5181E+00  1.4880E+00
  0.500  1.0129E+01  3.6561E-01 -1.2242E+01  8.812E-01  2.5608E+00  1.5152E+00
  0.600  1.0134E+01  4.2540E-01 -1.2869E+01  9.029E-01  2.6113E+00  1.5481E+00
  0.700  1.0138E+01  4.7983E-01 -1.3458E+01  9.275E-01  2.6686E+00  1.5864E+00
  0.800  1.0139E+01  5.2886E-01 -1.4008E+01  9.546E-01  2.7319E+00  1.6298E+00
  0.900  1.0136E+01  5.7246E-01 -1.4517E+01  9.834E-01  2.7999E+00  1.6782E+00
  1.000  1.0129E+01  6.1043E-01 -1.4987E+01  1.014E+00  2.8715E+00  1.7313E+00
