 # CdO_Fm3m                                                         FEFF 9.6.4
 # POT  SCF 100  6.0000   0, NO core-hole, AFOLP (folp(0)= 1.150)
 # Abs   Z=48 Rmt= 1.588 Rnm= 1.707 K  shell
 # Pot 1 Z=48 Rmt= 1.543 Rnm= 1.625
 # Pot 2 Z= 8 Rmt= 1.132 Rnm= 1.195
 # Gam_ch=8.978E+00 H-L exch Vi= 0.000E+00 Vr=-1.000E+00
 # Mu=-6.576E+00 kf=1.856E+00 Vint=-1.240E+01 Rs_int= 1.954
 # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 #Path    1      icalc       2
 #-----------------------------------------------------------------------
 #  2   3.000   2.3473    2.7553   -5.57614 nleg, deg, reff, rnrmav(bohr), edge
 #       x         y         z   pot at#
 #    0.0000    0.0000    0.0000  0  48 Cd       absorbing atom
 #    2.3473    0.0000    0.0000  2   8 O     
 #   k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  9.8416E+00  2.9413E-04 -1.1167E+01  8.455E-01  2.3730E+00  1.3995E+00
  0.100  9.8430E+00  1.3021E-01 -1.1627E+01  8.468E-01  2.3781E+00  1.4027E+00
  0.200  9.8469E+00  2.5645E-01 -1.2067E+01  8.509E-01  2.3935E+00  1.4121E+00
  0.300  9.8532E+00  3.7512E-01 -1.2485E+01  8.578E-01  2.4189E+00  1.4278E+00
  0.400  9.8613E+00  4.8322E-01 -1.2884E+01  8.673E-01  2.4538E+00  1.4496E+00
  0.500  9.8706E+00  5.7865E-01 -1.3262E+01  8.795E-01  2.4975E+00  1.4773E+00
  0.600  9.8803E+00  6.6024E-01 -1.3619E+01  8.943E-01  2.5495E+00  1.5107E+00
  0.700  9.8898E+00  7.2777E-01 -1.3956E+01  9.115E-01  2.6086E+00  1.5497E+00
  0.800  9.8980E+00  7.8183E-01 -1.4273E+01  9.309E-01  2.6740E+00  1.5938E+00
  0.900  9.9041E+00  8.2361E-01 -1.4570E+01  9.524E-01  2.7444E+00  1.6429E+00
  1.000  9.9072E+00  8.5467E-01 -1.4846E+01  9.756E-01  2.8187E+00  1.6967E+00
  1.100  9.9064E+00  8.7666E-01 -1.5102E+01  1.000E+00  2.8957E+00  1.7550E+00
  1.200  9.9009E+00  8.9138E-01 -1.5339E+01  1.026E+00  2.9744E+00  1.8175E+00
  1.300  9.8899E+00  9.0032E-01 -1.5555E+01  1.053E+00  3.0537E+00  1.8840E+00
  1.400  9.8724E+00  9.0479E-01 -1.5752E+01  1.080E+00  3.1328E+00  1.9543E+00
  1.500  9.8478E+00  9.0586E-01 -1.5929E+01  1.107E+00  3.2112E+00  2.0284E+00
  1.600  9.8152E+00  9.0460E-01 -1.6086E+01  1.135E+00  3.2888E+00  2.1062E+00
  1.700  9.7738E+00  9.0102E-01 -1.6224E+01  1.162E+00  3.3657E+00  2.1876E+00
  1.800  9.7235E+00  8.9569E-01 -1.6341E+01  1.188E+00  3.4429E+00  2.2727E+00
  1.900  9.6669E+00  8.8868E-01 -1.6438E+01  1.216E+00  3.5219E+00  2.3615E+00
  2.000  9.6081E+00  8.7987E-01 -1.6533E+01  1.222E+00  3.6050E+00  2.4543E+00
  2.200  9.3756E+00  8.4777E-01 -1.6623E+01  1.188E+00  3.8142E+00  2.6683E+00
  2.400  9.2050E+00  9.5251E-01 -1.6763E+01  1.454E+00  3.1019E+00  2.8538E+00
  2.600  9.1681E+00  9.8635E-01 -1.6998E+01  1.552E+00  2.9608E+00  2.9951E+00
  2.800  9.0969E+00  9.9626E-01 -1.7196E+01  1.587E+00  2.9132E+00  3.1446E+00
  3.000  9.0037E+00  9.8637E-01 -1.7372E+01  1.595E+00  2.9267E+00  3.3012E+00
  3.200  8.8933E+00  9.5856E-01 -1.7525E+01  1.565E+00  2.9773E+00  3.4632E+00
  3.400  8.7703E+00  9.1931E-01 -1.7662E+01  1.536E+00  3.0534E+00  3.6299E+00
  3.600  8.6411E+00  8.7059E-01 -1.7790E+01  1.493E+00  3.1486E+00  3.8009E+00
  3.800  8.5057E+00  8.1603E-01 -1.7907E+01  1.453E+00  3.2587E+00  3.9757E+00
  4.000  8.3686E+00  7.5916E-01 -1.8017E+01  1.413E+00  3.3810E+00  4.1538E+00
  4.200  8.2320E+00  7.0068E-01 -1.8124E+01  1.373E+00  3.5134E+00  4.3346E+00
  4.400  8.0944E+00  6.4430E-01 -1.8221E+01  1.334E+00  3.6544E+00  4.5180E+00
  4.600  7.9587E+00  5.9094E-01 -1.8315E+01  1.300E+00  3.8029E+00  4.7034E+00
  4.800  7.8246E+00  5.4088E-01 -1.8403E+01  1.270E+00  3.9580E+00  4.8906E+00
  5.000  7.6915E+00  4.9478E-01 -1.8484E+01  1.239E+00  4.1190E+00  5.0794E+00
  5.200  7.5594E+00  4.5270E-01 -1.8560E+01  1.212E+00  4.2853E+00  5.2696E+00
  5.400  7.4278E+00  4.1440E-01 -1.8633E+01  1.188E+00  4.4563E+00  5.4609E+00
  5.600  7.2969E+00  3.7979E-01 -1.8703E+01  1.166E+00  4.6317E+00  5.6533E+00
  5.800  7.1663E+00  3.4858E-01 -1.8770E+01  1.147E+00  4.8112E+00  5.8465E+00
  6.000  7.0367E+00  3.2080E-01 -1.8838E+01  1.129E+00  4.9943E+00  6.0405E+00
  6.500  6.7193E+00  2.6430E-01 -1.9013E+01  1.095E+00  5.4668E+00  6.5282E+00
  7.000  6.4169E+00  2.2204E-01 -1.9190E+01  1.070E+00  5.9576E+00  7.0189E+00
  7.500  6.1319E+00  1.8911E-01 -1.9360E+01  1.044E+00  6.4644E+00  7.5117E+00
  8.000  5.8553E+00  1.6202E-01 -1.9513E+01  1.019E+00  6.9853E+00  8.0063E+00
  8.500  5.5864E+00  1.3952E-01 -1.9649E+01  9.975E-01  7.5187E+00  8.5020E+00
  9.000  5.3265E+00  1.2165E-01 -1.9780E+01  9.819E-01  8.0635E+00  8.9986E+00
  9.500  5.0776E+00  1.0799E-01 -1.9910E+01  9.707E-01  8.6188E+00  9.4959E+00
 10.000  4.8392E+00  9.6517E-02 -2.0035E+01  9.620E-01  9.1836E+00  9.9938E+00
 11.000  4.3903E+00  7.7020E-02 -2.0256E+01  9.480E-01  1.0339E+01  1.0991E+01
 12.000  3.9767E+00  6.2278E-02 -2.0454E+01  9.406E-01  1.1526E+01  1.1989E+01
 13.000  3.5936E+00  5.2789E-02 -2.0637E+01  9.359E-01  1.2739E+01  1.2988E+01
 14.000  3.2380E+00  4.4581E-02 -2.0794E+01  9.332E-01  1.3977E+01  1.3987E+01
 15.000  2.9064E+00  4.0313E-02 -2.0935E+01  9.321E-01  1.5237E+01  1.4987E+01
 16.000  2.5970E+00  3.8683E-02 -2.1102E+01  9.315E-01  1.6516E+01  1.5986E+01
 17.000  2.3076E+00  3.6633E-02 -2.1306E+01  9.313E-01  1.7814E+01  1.6986E+01
 18.000  2.0347E+00  3.4689E-02 -2.1509E+01  9.305E-01  1.9128E+01  1.7986E+01
