 # CdS_F-43m                                                        FEFF 9.6.4
 # POT  SCF 100  6.0000   0, NO core-hole, AFOLP (folp(0)= 1.150)
 # Abs   Z=48 Rmt= 1.488 Rnm= 1.613 K  shell
 # Pot 1 Z=48 Rmt= 1.488 Rnm= 1.613
 # Pot 2 Z=16 Rmt= 1.401 Rnm= 1.518
 # Gam_ch=8.978E+00 H-L exch Vi= 0.000E+00 Vr=-1.000E+00
 # Mu=-5.460E+00 kf=1.795E+00 Vint=-1.174E+01 Rs_int= 2.020
 # PATH  Rmax= 4.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 ##Path    1      icalc       2
 #-----------------------------------------------------------------------
 #  2   4.000   2.5117    2.9576   -4.46003 nleg, deg, reff, rnrmav(bohr), edge
 #       x         y         z   pot at#
 #    0.0000    0.0000    0.0000  0  48 Cd       absorbing atom
 #   -1.4502    1.4502   -1.4502  2  16 S     
 #   k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  1.0108E+01  3.3621E-04 -1.1527E+01  8.290E-01  2.4393E+00  1.4388E+00
  0.100  1.0109E+01  1.5025E-01 -1.2018E+01  8.311E-01  2.4443E+00  1.4419E+00
  0.200  1.0112E+01  2.9393E-01 -1.2489E+01  8.376E-01  2.4593E+00  1.4512E+00
  0.300  1.0117E+01  4.2503E-01 -1.2939E+01  8.482E-01  2.4841E+00  1.4666E+00
  0.400  1.0123E+01  5.3868E-01 -1.3367E+01  8.628E-01  2.5181E+00  1.4880E+00
  0.500  1.0129E+01  6.3085E-01 -1.3772E+01  8.812E-01  2.5608E+00  1.5152E+00
  0.600  1.0134E+01  7.0070E-01 -1.4157E+01  9.029E-01  2.6113E+00  1.5481E+00
  0.700  1.0138E+01  7.4709E-01 -1.4520E+01  9.275E-01  2.6686E+00  1.5864E+00
  0.800  1.0139E+01  7.7055E-01 -1.4860E+01  9.546E-01  2.7319E+00  1.6298E+00
  0.900  1.0136E+01  7.7232E-01 -1.5179E+01  9.834E-01  2.7999E+00  1.6782E+00
  1.000  1.0129E+01  7.5411E-01 -1.5478E+01  1.014E+00  2.8715E+00  1.7313E+00
  1.100  1.0116E+01  7.1791E-01 -1.5757E+01  1.044E+00  2.9455E+00  1.7888E+00
  1.200  1.0097E+01  6.6566E-01 -1.6020E+01  1.075E+00  3.0209E+00  1.8506E+00
  1.300  1.0071E+01  6.0026E-01 -1.6271E+01  1.105E+00  3.0967E+00  1.9165E+00
  1.400  1.0038E+01  5.2482E-01 -1.6519E+01  1.134E+00  3.1723E+00  1.9864E+00
  1.500  9.9966E+00  4.4411E-01 -1.6778E+01  1.162E+00  3.2473E+00  2.0601E+00
  1.600  9.9465E+00  3.6651E-01 -1.7075E+01  1.187E+00  3.3217E+00  2.1376E+00
  1.700  9.8872E+00  3.0314E-01 -1.7443E+01  1.210E+00  3.3961E+00  2.2190E+00
  1.800  9.8181E+00  2.7186E-01 -1.7889E+01  1.230E+00  3.4718E+00  2.3043E+00
  1.900  9.7387E+00  2.8337E-01 -1.8327E+01  1.246E+00  3.5508E+00  2.3937E+00
  2.000  9.6473E+00  3.2798E-01 -1.8649E+01  1.258E+00  3.6370E+00  2.4881E+00
  2.200  9.3828E+00  4.6191E-01 -1.8931E+01  1.389E+00  3.3951E+00  2.7077E+00
  2.400  9.2952E+00  6.4951E-01 -1.9253E+01  1.568E+00  3.0276E+00  2.8665E+00
  2.600  9.2532E+00  8.1909E-01 -1.9523E+01  1.629E+00  2.9212E+00  3.0055E+00
  2.800  9.1694E+00  9.5263E-01 -1.9715E+01  1.643E+00  2.8992E+00  3.1560E+00
  3.000  9.0660E+00  1.0488E+00 -1.9872E+01  1.618E+00  2.9279E+00  3.3124E+00
  3.200  8.9501E+00  1.1132E+00 -2.0017E+01  1.584E+00  2.9894E+00  3.4743E+00
  3.400  8.8247E+00  1.1497E+00 -2.0152E+01  1.531E+00  3.0742E+00  3.6411E+00
  3.600  8.6924E+00  1.1549E+00 -2.0286E+01  1.484E+00  3.1766E+00  3.8121E+00
  3.800  8.5578E+00  1.1362E+00 -2.0427E+01  1.434E+00  3.2932E+00  3.9869E+00
  4.000  8.4219E+00  1.1050E+00 -2.0576E+01  1.388E+00  3.4213E+00  4.1650E+00
  4.200  8.2853E+00  1.0669E+00 -2.0722E+01  1.348E+00  3.5591E+00  4.3459E+00
  4.400  8.1505E+00  1.0230E+00 -2.0864E+01  1.308E+00  3.7052E+00  4.5292E+00
  4.600  8.0151E+00  9.7622E-01 -2.0996E+01  1.274E+00  3.8586E+00  4.7146E+00
  4.800  7.8798E+00  9.2793E-01 -2.1118E+01  1.244E+00  4.0185E+00  4.9017E+00
  5.000  7.7450E+00  8.7825E-01 -2.1228E+01  1.218E+00  4.1840E+00  5.0905E+00
  5.200  7.6096E+00  8.3013E-01 -2.1327E+01  1.193E+00  4.3547E+00  5.2806E+00
  5.400  7.4744E+00  7.8484E-01 -2.1419E+01  1.172E+00  4.5302E+00  5.4718E+00
  5.600  7.3390E+00  7.4190E-01 -2.1503E+01  1.153E+00  4.7099E+00  5.6640E+00
  5.800  7.2042E+00  7.0348E-01 -2.1584E+01  1.134E+00  4.8935E+00  5.8571E+00
  6.000  7.0706E+00  6.6813E-01 -2.1663E+01  1.117E+00  5.0808E+00  6.0510E+00
  6.500  6.7459E+00  5.9251E-01 -2.1860E+01  1.081E+00  5.5635E+00  6.5384E+00
  7.000  6.4416E+00  5.2271E-01 -2.2053E+01  1.052E+00  6.0642E+00  7.0287E+00
  7.500  6.1575E+00  4.5510E-01 -2.2232E+01  1.029E+00  6.5807E+00  7.5213E+00
  8.000  5.8787E+00  3.9530E-01 -2.2393E+01  1.006E+00  7.1110E+00  8.0154E+00
  8.500  5.6071E+00  3.4979E-01 -2.2550E+01  9.882E-01  7.6538E+00  8.5108E+00
  9.000  5.3433E+00  3.1301E-01 -2.2701E+01  9.733E-01  8.2079E+00  9.0071E+00
  9.500  5.0920E+00  2.7879E-01 -2.2848E+01  9.612E-01  8.7722E+00  9.5042E+00
 10.000  4.8536E+00  2.4601E-01 -2.2989E+01  9.523E-01  9.3459E+00  1.0002E+01
 11.000  4.4047E+00  1.9772E-01 -2.3246E+01  9.413E-01  1.0519E+01  1.0998E+01
 12.000  3.9874E+00  1.6221E-01 -2.3491E+01  9.338E-01  1.1723E+01  1.1996E+01
 13.000  3.6048E+00  1.3196E-01 -2.3724E+01  9.300E-01  1.2953E+01  1.2994E+01
 14.000  3.2474E+00  1.1122E-01 -2.3926E+01  9.281E-01  1.4207E+01  1.3993E+01
 15.000  2.9151E+00  9.6318E-02 -2.4115E+01  9.272E-01  1.5483E+01  1.4992E+01
 16.000  2.6053E+00  9.1469E-02 -2.4312E+01  9.273E-01  1.6778E+01  1.5992E+01
 17.000  2.3149E+00  8.7422E-02 -2.4594E+01  9.272E-01  1.8090E+01  1.6991E+01
 18.000  2.0419E+00  8.0629E-02 -2.4896E+01  9.270E-01  1.9419E+01  1.7991E+01
 19.000  1.7836E+00  7.3203E-02 -2.5211E+01  9.264E-01  2.0763E+01  1.8991E+01
 20.000  1.5390E+00  6.6080E-02 -2.5550E+01  9.263E-01  2.2121E+01  1.9991E+01
